id,name
hsa00010,Glycolysis_/_Gluconeogenesis
hsa00020,Citrate_cycle_(TCA_cycle)
hsa00030,Pentose_phosphate_pathway
hsa00040,Pentose_and_glucuronate_interconversions
hsa00051,Fructose_and_mannose_metabolism
hsa00052,Galactose_metabolism
hsa00053,Ascorbate_and_aldarate_metabolism
hsa00061,Fatty_acid_biosynthesis
hsa00062,Fatty_acid_elongation
hsa00071,Fatty_acid_degradation
hsa00072,Synthesis_and_degradation_of_ketone_bodies
hsa00100,Steroid_biosynthesis
hsa00120,Primary_bile_acid_biosynthesis
hsa00130,Ubiquinone_and_other_terpenoid-quinone_biosynthesis
hsa00140,Steroid_hormone_biosynthesis
hsa00190,Oxidative_phosphorylation
hsa00220,Arginine_biosynthesis
hsa00230,Purine_metabolism
hsa00232,Caffeine_metabolism
hsa00240,Pyrimidine_metabolism
hsa00250,"Alanine,_aspartate_and_glutamate_metabolism"
hsa00260,"Glycine,_serine_and_threonine_metabolism"
hsa00270,Cysteine_and_methionine_metabolism
hsa00280,"Valine,_leucine_and_isoleucine_degradation"
hsa00290,"Valine,_leucine_and_isoleucine_biosynthesis"
hsa00310,Lysine_degradation
hsa00330,Arginine_and_proline_metabolism
hsa00340,Histidine_metabolism
hsa00350,Tyrosine_metabolism
hsa00360,Phenylalanine_metabolism
hsa00380,Tryptophan_metabolism
hsa00400,"Phenylalanine,_tyrosine_and_tryptophan_biosynthesis"
hsa00410,beta-Alanine_metabolism
hsa00430,Taurine_and_hypotaurine_metabolism
hsa00440,Phosphonate_and_phosphinate_metabolism
hsa00450,Selenocompound_metabolism
hsa00471,D-Glutamine_and_D-glutamate_metabolism
hsa00472,D-Arginine_and_D-ornithine_metabolism
hsa00480,Glutathione_metabolism
hsa00500,Starch_and_sucrose_metabolism
hsa00510,N-Glycan_biosynthesis
hsa00511,Other_glycan_degradation
hsa00512,Mucin_type_O-glycan_biosynthesis
hsa00513,Various_types_of_N-glycan_biosynthesis
hsa00514,Other_types_of_O-glycan_biosynthesis
hsa00515,Mannose_type_O-glycan_biosynthesis
hsa00520,Amino_sugar_and_nucleotide_sugar_metabolism
hsa00524,"Neomycin,_kanamycin_and_gentamicin_biosynthesis"
hsa00531,Glycosaminoglycan_degradation
hsa00532,Glycosaminoglycan_biosynthesis
hsa00533,Glycosaminoglycan_biosynthesis
hsa00534,Glycosaminoglycan_biosynthesis
hsa00561,Glycerolipid_metabolism
hsa00562,Inositol_phosphate_metabolism
hsa00563,Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis
hsa00564,Glycerophospholipid_metabolism
hsa00565,Ether_lipid_metabolism
hsa00590,Arachidonic_acid_metabolism
hsa00591,Linoleic_acid_metabolism
hsa00592,alpha-Linolenic_acid_metabolism
hsa00600,Sphingolipid_metabolism
hsa00601,Glycosphingolipid_biosynthesis
hsa00603,Glycosphingolipid_biosynthesis
hsa00604,Glycosphingolipid_biosynthesis
hsa00620,Pyruvate_metabolism
hsa00630,Glyoxylate_and_dicarboxylate_metabolism
hsa00640,Propanoate_metabolism
hsa00650,Butanoate_metabolism
hsa00670,One_carbon_pool_by_folate
hsa00730,Thiamine_metabolism
hsa00740,Riboflavin_metabolism
hsa00750,Vitamin_B6_metabolism
hsa00760,Nicotinate_and_nicotinamide_metabolism
hsa00770,Pantothenate_and_CoA_biosynthesis
hsa00780,Biotin_metabolism
