Vibrio cholera
Cryphonectria parasitica
Fusarium oxysporum
Phytophthora cinnamomi
Verticillium spp.
Sphagnum spp.
Onoclea sensibilis
Chamaecyparis thyoides
Larix laricina
Picea mariana
Taxus brevifolia
Carex pseudocyperus
Carex spp.
Cyperus spp.
Distichlis spicata
Eleocharis parvula
Panicum spp.
Phragmites australis
Scirpus maritimus
Scirpus robustus
Spartina alterniflora
Spartina patens
Spartina spp.
Zea mays
Potamogeton spp.
Triglochin maritimum 
Lemna minor
Lemna spp.
Peltandra virginica
Typha latifolia
Typha spp.
Pontederia cordata
Baccharis halimifolia
Erechtites hieracifolia
Eupatorium capillifolium
Hieracium kalmii
Iva frutescens
Pluchea purpurascens
Prenanthes racemosa
Solidago spp.
Sambucus canadensis
Viburnum dentatum
Pycnanthemum torrei
Verbena hastata
Fraxinus nigra
Utricularia vulgaris
Nicotiana  rustica
Calystegia sepium
Polygonum  cuspidatum
Polygonum perfoliatum
Polygonum hydropiperoides
Polygonum spp.
Hypericum adpressum
Clethra alnifolia
Leucothoe racemosa
Hibiscus  moscheutos
Populus  deltoides
Populus spp.
Salix discolor
Alnus  sp.
Betula populifolia
Betula spp.
Castanea dentata
Quercus bicolor
Quercus coccinea
Quercus lyrata
Quercus palustris
Liquidambar styraciflua
Juglans nigra
Cannabis spp.
Ulmus americana
Brasenia schreberi
Nuphar spp.
Nymphaea odorata
Heracleum mantegazzianum
Nyssa sylvatica
Phaseolus vulgaris
Robinia pseudoacacia
Lythrum salicaria
Rhamnus frangula
Ampelopsis brevipedunculata
Aronia prunifolia
Prunus serotina
Rubus hispidus
Sorbus aucuparia
Spiraea tomentosa
Linum spp.
Acer negundo
Acer rubrum
Ailanthus altissima
Ptelea trifoliata
Rhus spp.
Baylisascaris procyonis
Lumbricus spp.
Lumbricus terrestris
Polydora ligni
Terebrasabella hetrouncintata
Ixodes scapularis
Blattella germanica
Calamomyia phragmites
Lasioptera hungarica
Lipara spp.
Thrypticus spp.
Lymantria dispar
Ochlodes yuma
Pyrgus wyandot
Poanes viator
Anthonomus grandis
Galerucella calmariensis
Galerucella pusilla
Galerucella spp.
Callinectes sapidus
Crangon septemspinosa
Hemigrapsus sanguineus
Palaemonetes pugio
Rhithropanopeus harrisii
Uca spp.
Mya arenaria
Crassostrea virginica
Alasmidonta heterodon
Alasmidonta undulata
Lampsilis cariosa
Lasmigona subviridis
Leptodea ochracea
Strophitus undulates
Corbicula fluminea
Dreissena polymorpha
Macoma bathica
Mytilopsis leucophaeata
Mytilopsis sp.
Potamocorbula amurensis
Acipenser brevirostrum
Acipenser oxyrhynchus
Alosa aestivalis
Alosa pseudoharengus
Alosa sapidissima
Alosa spp.
Anchoa mitchilli
Dorosoma cepedianum
Anguilla rostrata
Carassius auratus
Cyprinus carpio
Microgadus tomcod
Menidia menidia
Menidia spp.
Fundulus heteroclitus
Cottus spp.
Prionotus evolans
Centropristis striata
Etheostoma spp.
Micropogonias undulatus
Morone americana
Morone saxatilis
Percina spp.
Pomatomus saltatrix
Gobiosoma bosc
Paralichthys dentatus
Pseudopleuronectes americanus
Trinectes maculates
Ambystoma jeffersonianum
Ambystoma opacum
Gyrinophilus porphyriticus
Bufo terrestris
Bufo woodhousii fowleri
Clemmys guttata
Clemmys insculpta
Clemmys muhlenbergii
Kinosternon subrubrum
Malaclemys terrapin
Sternotherus odoratus
Terrapene carolina
Trachemys scripta
Coluber constrictor
Eumeces fasciatus
Opheodrys vernalis
Podilymbus podiceps
Anas platyrhynchos
Anas rubripes
Anas strepera
Aythya americana
Branta canadensis
Bucephala albeola
Ardea alba
Ardea exilis
Ardea herodias
Botaurus lentiginosus
Egretta caerulea
Egretta tricolor
Ixobrychus exilis
Nyctanassa violacea
Nycticorax nycticorax
Accipiter cooperii
Accipiter gentiles
Accipiter striatus
Buteo lineatus
Buteo platypterus
Circus cyaneus
Falco peregrinus
Falco sparverius
Haliaeetus leucocephalus
Pandion haliaetus
Coturnicops noveboracensis
Gallinula chloropus
Rallus elegans
Rallus longirostris obsoletus
Rallus spp.
Actitis macularia
Bartramia longicauda
Calidris alba
Calidris alpina
Calidris canutus
Calidris minutilla
Catoptrophorus semipalmatus
Chlidonias niger
Limosa fedoa
Limosa haemastica
Numenius phaeopus
Phalaropus tricolor
Rynchops niger
Scolopax minor
Sterna antillarum
Sterna caspia
Sterna dougallii
Sterna hirundo
Tringa arenaria
Tringa solitaria
Tryngites subruficollis
Columba livia
Coccyzus americanus
Coccyzus erythropthalmus
Asio flammeus
Asio otus
Strix varia
Tyto alba
Chordeiles acutipennis
Chordeiles minor
Ceryle alcyon
Melanerpes erythrocephalus
Agelaius phoeniceus
Ammodramus caudacutus
Ammodramus maritimus
Ammodramus palustris
Ammodramus spp.
Cardinalis cardinalis
Carduelis tristis
Catharus fuscescens
Catharus minimus
Catharus ustulatus
Cistothorus palustris
Cistothorus platensis
Corvus brachyrhynchos
Dendroica caerulescens
Dendroica castanea
Dendroica discolor
Dendroica petechia
Dendroica virens
Dolichonyx oryzivorus
Dumetella carolinensis
Empidonax minimus
Eremophila alpestris
Geothlypis trichas
Hylocichla mustelina
Icterus galbula
Lanius ludovicianus
Melospiza melodia
Melospiza spp.
Mimus polyglottos
Molothrus ater
Parula americana
Passerculus sandwichensis
Petrochelidon pyrrhonota
Pooecetes gramineus
Riparia riparia
Spiza americana
Sturnella magna
Sturnus vulgaris
Troglodytes tyroglodytes
Vireo solitarius
Vermivora pinus
Wilsonia canadensis
Castoroides ohioensis
Mus musculus
Neotoma magister
Ondatra zibethicus
Rattus norvegicus
Myotis sodalis
Sylvilagusfloridanus
Elephas primigenius
Mammut americanus
Canis familiaris
Canis latrans
Felis silvestris
Lutra canadensis
Mustela vison
Procyon lotor
Urocyon cinereoargenteus
Vulpes vulpes
Phoca vitulina
Bos taurus
Cervalces scotti
Odocoileus virginianus
Rangifer tarandus
Homo sapiens
